Shimmer_001	Shimmer_001	Shimmer_001	Shimmer_001	Shimmer_001	Shimmer_001	Shimmer_001	Shimmer_001	
Accel_LN_Z	Accel_LN_Z	Accel_LN_Y	Accel_LN_Y	Timestamp	Timestamp	Accel_LN_X	Accel_LN_X	
UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	
no_units	m/(s^2)	no_units	m/(s^2)	Ticks	ms	m/(s^2)	no_units	
2618.0	-6.879518072289157	2521.0	-24.289156626506024	1.6400424E7	1012501.1901855469	-5.710843373493976	4063.0	
2626.0	-6.975903614457832	2532.0	-24.289156626506024	1.6433192E7	1013501.1901855469	-5.843373493975904	4063.0	
2643.0	-7.1807228915662655	2520.0	-24.27710843373494	1.646596E7	1014501.1901855469	-5.698795180722892	4062.0	
2633.0	-7.060240963855422	2530.0	-24.289156626506024	1.6498728E7	1015501.1901855469	-5.819277108433735	4063.0	
2650.0	-7.265060240963856	2523.0	-24.27710843373494	1.6531496E7	1016501.1901855469	-5.734939759036145	4062.0	
2642.0	-7.168674698795181	2517.0	-24.27710843373494	1.6564264E7	1017501.1901855469	-5.662650602409639	4062.0	
2572.0	-6.325301204819278	2610.0	-24.27710843373494	1.6597032E7	1018501.1901855469	-6.783132530120482	4062.0	
2718.0	-8.084337349397591	2548.0	-24.289156626506024	1.66298E7	1019501.1901855469	-6.0361445783132535	4063.0	
2572.0	-6.325301204819278	2610.0	-24.27710843373494	1.6662568E7	1020501.1901855469	-6.783132530120482	4062.0	
2590.0	-6.542168674698796	2518.0	-24.289156626506024	1.6695336E7	1021501.1901855469	-5.674698795180723	4063.0	
2441.0	-4.746987951807229	2910.0	-24.289156626506024	1.6728104E7	1022501.1901855469	-10.397590361445785	4063.0	
2624.0	-6.951807228915663	2456.0	-24.289156626506024	1.6760872E7	1023501.1901855469	-4.927710843373494	4063.0	
2646.0	-7.216867469879518	2525.0	-24.289156626506024	16424.0	1024501.1596679688	-5.759036144578314	4063.0	
2627.0	-6.987951807228916	2514.0	-24.289156626506024	49192.0	1025501.1596679688	-5.626506024096386	4063.0	
2780.0	-8.831325301204819	2346.0	-24.27710843373494	81960.0	1026501.1596679688	-3.6024096385542173	4062.0	
2471.0	-5.1084337349397595	2304.0	-24.27710843373494	114728.0	1027501.1596679688	-3.096385542168675	4062.0	
2558.0	-6.156626506024097	2274.0	-24.289156626506024	147496.0	1028501.1596679688	-2.734939759036145	4063.0	
2603.0	-6.698795180722892	2436.0	-24.30120481927711	180264.0	1029501.1596679688	-4.686746987951808	4064.0	
2676.0	-7.578313253012048	2296.0	-24.30120481927711	213032.0	1030501.1596679688	-3.0	4064.0	
2297.0	-3.0120481927710845	2137.0	-24.313253012048193	245800.0	1031501.1596679688	-1.0843373493975905	4065.0	
2465.0	-5.0361445783132535	2266.0	-24.30120481927711	278568.0	1032501.1596679688	-2.63855421686747	4064.0	
2594.0	-6.590361445783133	2427.0	-24.30120481927711	311336.0	1033501.1596679688	-4.578313253012048	4064.0	
2533.0	-5.855421686746988	2281.0	-24.289156626506024	344104.0	1034501.1596679688	-2.819277108433735	4063.0	
2774.0	-8.759036144578314	2447.0	-24.27710843373494	376872.0	1035501.1596679688	-4.819277108433735	4062.0	
2664.0	-7.433734939759036	2349.0	-24.30120481927711	409640.0	1036501.1596679688	-3.6385542168674703	4064.0	
2655.0	-7.325301204819278	2400.0	-24.30120481927711	442408.0	1037501.1596679688	-4.253012048192772	4064.0	
2400.0	-4.253012048192772	2291.0	-24.30120481927711	475176.0	1038501.1596679688	-2.9397590361445785	4064.0	
2431.0	-4.626506024096386	2055.0	-24.313253012048193	507944.0	1039501.1596679688	-0.0963855421686747	4065.0	
2596.0	-6.614457831325302	2792.0	-24.30120481927711	540712.0	1040501.1596679688	-8.975903614457831	4064.0	
2373.0	-3.927710843373494	2193.0	-24.30120481927711	573480.0	1041501.1596679688	-1.7590361445783134	4064.0	
2403.0	-4.289156626506024	2403.0	-24.30120481927711	606248.0	1042501.1596679688	-4.289156626506024	4064.0	
2631.0	-7.0361445783132535	2382.0	-24.289156626506024	639016.0	1043501.1596679688	-4.0361445783132535	4063.0	
2554.0	-6.1084337349397595	2477.0	-24.289156626506024	671784.0	1044501.1596679688	-5.1807228915662655	4063.0	
2657.0	-7.349397590361447	2614.0	-24.289156626506024	704552.0	1045501.1596679688	-6.83132530120482	4063.0	
